Cfi,status,failed_fields,family,expected_family,source_cfi,expected_source_cfi,enabled_risks,expected_enabled_risks,risk_overrides,expected_risk_overrides,shifts,expected_shifts,inventory_replenishment_period,expected_inventory_replenishment_period,initial_buffers,expected_initial_buffers,horizon_hours,expected_horizon_hours
79,MATCH,,capacity,capacity,19,19,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",2,2,,,{},{},80640.0,80640.0
80,MATCH,,capacity,capacity,20,20,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
81,MATCH,,capacity,capacity,21,21,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
82,MATCH,,capacity,capacity,22,22,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",3,3,,,{},{},161280.0,161280.0
83,MATCH,,capacity,capacity,23,23,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",2,2,,,{},{},161280.0,161280.0
84,MATCH,,capacity,capacity,24,24,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",3,3,,,{},{},161280.0,161280.0
85,MATCH,,capacity,capacity,25,25,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",2,2,,,{},{},161280.0,161280.0
86,MATCH,,capacity,capacity,26,26,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",3,3,,,{},{},161280.0,161280.0
87,MATCH,,capacity,capacity,27,27,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",2,2,,,{},{},161280.0,161280.0
88,MATCH,,capacity,capacity,28,28,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
89,MATCH,,capacity,capacity,29,29,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",2,2,,,{},{},161280.0,161280.0
90,MATCH,,capacity,capacity,30,30,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
